face frumos
atent nepăsător
descurajant dispus
goli încărca
inofensiv păgubitor
dori purta
demonstrativ nepretențios
liber robit
preceda veni
fixa încețoșa
crescendo diminuendo
maturizare stagnare
pârât reclamant
ascunde lăsa
frapant invizibil
nevaloros valoros
aseptic microbian
expres întâmplător
adunare dezarmare
just nejust
descurajare îmbărbătare
conștiință inconștiență
lămuri încâlci
destupa dop
desconsiderare prețuire
liniștit îngrijorat
benign dăunător
ascuțit înfundat
organism spontan
desconsidera respecta
curaj temere
bunăvoință rea-voință
deschis închis
aprobare neacceptare
bogăție mizerie
ghinionist norocos
incert pecetluit
înrăutăți face
elimina îngloba
dobândi rata
imoralitate moralitate
însoți scinda
antipatie plăcere
despărți converge
cu trata
dinăuntru exterior
damna da
borî opri
arabă cifră
lăsa sălta
firește nenatural
subaprecia în
borî împiedica
constructiv distructiv
asprime netezime
exterior interior
nevastă soț
descheia încheia
imposibilitate potențialitate
involuntar voluntar
dibui pierde
scula întins
expres involuntar
noapte zi
interes indiferență
bolnav însănătoșit
împodobi purta
nesimțitor sensibil
mobil nemișcat
angro bucată
investițiile plasa
avariție dărnicie
uscat ud
tare încet
subevalua supraestima
da nu
îmbrăca găti
de indiferență
aplica respinge
diateză diateza
decis ezitant
conștient neatent
minoritar majoritar
dizgrație preocupare
de răceală
call vânzare
bogăție lipsă
bidimensional tridimensional
ruptură relaționare
bună proastă
muți vorbi
la spăla
intern pe
altă pe
de periapsis
pierdere profit
subția îngroșa
asincronism sincronie
destabilizare stabilizare
lax tensionat
stăvili stimula
a spontan
21 iarnă
consonanță dezacord
mobilizat voluntar
plângăcios plângeri
bărbăție teamă
statornic schimbător
desigila pecetlui
mort vii
desființa instaura
fără grabă
intervenție neintervenție
fizic imaterial
completamente parțial
conserva curma
interzice îngădui
dispariție ivire
placiditate răspuns
cădea trece
fecund sterp
imaterial material
împodobi lejere
anume neintenționat
fața mărgini
creștere decrement
inutilitate utilitate
goli umple
falsifica îndrepta
bisericească nespecialist
desface intersecta
umoristic umor
operații simultane
negativ pozitiv
nerăbdător răbdător
relaxa încorda
înrola la
nebunește rațional
aproba altă
angular rotunjit
nepăsare reacție
fără meditativ
fi picioare
ciripi gura
permite refuza
cu tact
fizic nesubstanțial
fază odihni
neproductiv productiv
imparțial parțial
agale sprinten
timpuriu tardiv
confuz sensibil
mai puțin
punct slab
avort organism
discriminatoriu nediscriminatoriu
elibera obtura
mărunțiș nevoie
comunitate individualitate
consecutive operații
abstract concret
recto verso
adormi deștepta
iunie solstițiu
dichisi lejer
corect incorect
de prematur
dezlega fereca
constituțional neconstituțional
ameliorare declin
corobora dezminți
limbaj limbă
agitat potolit
pitic înalt
bunăvoință dorință
nespart zdrobit
aplauda huidui
comprehensibilitate incomprehensibilitate
aduce subestima
intoxicat treaz
dovedi infirma
ceresc pământesc
reține obișnui
demonstra invalida
mișcare nemișcat
atent fără
bărbat femeie
frumos face
necredință teism
ascuți atenua
descotorosi comporta
prost sprinten
refuz recunoaștere
minoritate majorat
naște răposa
rege regină
femeiască parte
abate fi
competență incompetență
adevăr exagerare
neafectat tulburat
afară interior
porni încheia
necinste stimă
continuare intermitență
avânt tempera
echitabil nejust
contraindica schița
pe deplasa
sfârși începe
clădi dărâma
descreștere inflație
fără grijă
victorie înfrângere
deosebi însemna
neobișnuit normal
bună răutate
elucida obscura
regres îmbunătățire
aprinde închide
scenă în
umezi usca
analiza sintetiza
dârzenie temere
dezintegra îngloba
neconfirmat pecetluit
domol repede
de vară
declara pace
decizie nesiguranță
plin vid
conserva conteni
neorânduială rânduială
creditor debitor
îndurera bucura
altă parte
grăbit grabă
acord declina
parte stânga
decrement spor
exila repatria
optimist speranță
inactivitate vlagă
defect merit
gura tăcere
control nestăpânit
pleca rămâne
bălai negricios
reacție răceală
scoate vărsa
amical ostil
evoluție regres
neprevăzut previzibil
îndrepta deteriora
cuvânt nedrept
miez timpuriu
atomism teorie
buruiană cultură
suprafață submarin
afluent ramificație
neglija serios
energic letargic
lua neglija
pasivitate vlagă
delicat neîndemânatic
treaz îmbătat
mierli naște
destupa înfunda
avea conta
fără grabnic
comprimare decomprimare
nu încredere
detesta îndrăgi
robust slab
cooperație rivalitate
nepolitic politic
atrăgător neatrăgător
pace război
crede renega
organism sarcinii
niciodată pururi
beneficiu deficit
împovăra înveseli
anod catod
asimetrie simetrie
pune înrăutăți
eficient ineficient
ager lin
vârî înceta
acord conflict
bolnav pacient
distinct echivoc
necugetat socotit
nenatural natural
adecvat neindicat
apus auroră
înveseli văita
asexual sexual
contaminare decontaminare
brun blond
delicat neajutorat
netoleranță toleranță
pluti scufunda
măsurabil nemăsurat
sprinten încetișor
drog ușor
certitudine necredință
necaz prosperitate
de insensibilitate
naște prăpădi
supraevalua subaprecia
aduce duce
dizloca împlânta
continua înceta
moartă maree
inexpresivitate scumpătate
curățenie neglijență
indirectă probă
dezonoare onoare
trece în
dreptate injustiție
ține pe
minte uita
coeziune incoerență
negativă pozitivă
expira returna
faună vegetație
luminos întunecos
începe înceta
detalia scurta
tocit tăios
desființa înființa
degeaba folos
slăbi înteți
una zidi
cele cel
decizie șovăială
evolua regresa
descotorosi lua
desființa stabili
clădi una
civilitate mojicie
nerușinare rușinat
aton accentuat
credul prudent
impotent viril
alene ager
apărea stinge
spate înainte
diateza diateză
proces stagnare
ascuțit tocit
delicatețe de
apăsa înveseli
înainte înapoi
electrolitică pilă
trece trata
necinste vază
fortifica dezarma
pierde revendica
teoria teorie
aranja lejere
sfârși porni
tanti unchi
cinstire dezonoare
dezumfla gaz
lucrătoare restul
aval curentului
feminitate masculinitate
cuminte necugetat
agreabil inconfortabil
intensifica potoli
benign păgubitor
înregimenta vatră
naiv precaut
aprovizionare cerință
disjunge face
îndoială încredere
dispoziție voioșie
solstițiu solstițiul
lucru pauză
capital venial
nou vechi
iresponsabil responsabil
grupa secționa
hipercalcemie hipocalcemie
cumpăt necumpătare
apă sărată
incert neîndoios
apărea evapora
cel cele
corporal imaterial
plicticos vioi
afirmativ nefavorabil
însoți despărți
ininteligibil inteligibil
bărbătesc poltron
cu fi
aspira sâmbetele
dărâma ridica
muri plin
infirma susține
cu construi
despărți încrucișa
greșită idee
simultane secvențiale
pierderea viu
izolare legătură
cumpănă instabilitate
retrage înainta
jos sus
bandă culoar
dezbinare unificare
favorabil nefavorabil
conecta din
caracter lipsă
lucru zilei
inconștiență scrupulozitate
foame fi
descuia bloca
competent necalificat
atrage dezgusta
naivitate rafinament
ateism cuvioșie
exporta importa
crud copt
amărăciune bucurie
odihni pe
reptilă reptile
de neizbutit
înfunda destupa
inseparabil separat
depigmentare pigmentare
minimizare maximizare
civil ostaș
conteni menține
adult persoană
înăcri îndulci
convex scobit
eficiență ineficacitate
lin vioi
apoapsis punct
înfierbânta răcori
dichisi lejere
dezordine îngrijire
inconfortabil plăcut
grabă grăbit
uni secționa
animal inanimat
face în
necompetent priceput
cu serios
bun soră
deplinătate gol
just nedrept
densitate dispersie
dispărea răsări
devaloriza sui
retrograda contura
cu ridica
admite contesta
inerție vlagă
amor dușmănie
neaccentuat tonic
desface întâlni
cuviincios indecent
neputință virtualitate
mărire regres
androgin femeiesc
decadență îmbunătățire
veni anestezie
sunet tăcere
dezinteres interes
explicit neexplicit
dezinfectat microbian
cuprinzător incomprehensibil
flexare îndreptare
vertical înclinat
pune porni
potrivit plin
colecta împrăștia
păstra schimba
caracter potrivire
alipi dezlipi
animal neanimat
neseriozitate solemnitate
informat neinformat
subevalua în
agreabil neplăcut
cumpănă dezechilibru
stimula seda
ciripi tăcere
cu omite
existență neființă
impermeabilitate permeabilitate
loialitate lipsă
cumpătare necumpătare
repatria surghiuni
de justificabil
limitat nelimitat
potrivi încețoșa
debarasa cere
depigmentare pigmentație
conserva întrerupe
dezgusta tenta
majoritate minoritate
temeritate temere
ridica așeza
dizgrațios grațios
jenat rușine
critica lăuda
pace stare
impresionant neimpresionant
nesupunere supunere
interior pe
veni anestezia
conflict consonanță
bani scumpi
mărunțiș necesitate
accelerare încetinire
neintenționat înadins
cutezanță frică
acerb molatic
decis nedecis
de final
supraaprecia subestima
conformare neascultare
cod internațională
inteligență stupiditate
incompetent priceput
nepretențios provocator
integru necinstit
supraestima subevalua
fin nerafinat
mijloc târziu
deceda naște
important insignifiant
cu vânzare
dezordine ordine
fiică flăcău
influență impotență
bucata vinde
potolit tulburat
neascultare supunere
complica simplifica
găsi rătăci
adecvat neadecvat
apă saramură
depune scoate
anost vioi
repede încetișor
corect necinstit
astigmatism stigmatism
estompa focaliza
iubire ură
maică taică
abține acționa
destrăma încurca
izbitor invizibil
nesănătos în
curaj sfială
angajat angajator
descurajator încurajator
lumina înnora
fără inventiv
merit scădere
avariție generozitate
atașa detașa
curbă dreaptă
necumpătare temperanță
distopie utopie
achita osândi
de tembelism
cu face
timpuriu întârziat
civilizat necivilizat
iute lin
dispoziție proastă
față profan
depărtare preajmă
da ține
timiditate îndrăzneală
eterodox ortodox
de loialitate
îngustime în
instabil solid
sfârși împrospăta
afirmativ negare
sol voleu
impasibilitate sensibilitate
rata realiza
da damna
mare mică
superior statut
personam rem
agita potoli
emotivitate indiferență
puternic slab
prezent potențial
calic de
agita liniști
generos zgârcit
fiu fiică
formă singular
recunoaștere refuz
năzui purta
parte rata
inegal regulat
reține consuma
disciplină neascultare
judecată sentință
calm zbucium
compatibilitate nepotrivire
tineret vârstnic
de restul
prospețime învechire
nerentabilitate rentabilitate
beneficiu pierdere
lungi scurta
calicie generos
capabil incapabil
moliciune volum
cu fără
capabil nechemat
conștiinciozitate inconștiență
corect neonest
reduce înmulți
vioi încet
fidelitate necredință
tardiv toi
lașitate neînfricare
domoli da
micșora mări
atenua ascuți
de plauzibil
energie slăbiciune
maximum minimum
trece trânti
controlat necontrolat
nesocoti serios
regăsi rătăci
endoterm exotermic
ridica una
căldură răceală
meteahnă merit
apatic energic
justețe nedreptate
prezent scăpa
asimilație dezasimilare
moale tensionat
serală școală
lărgire strâmtare
afla rătăci
invalida ratifica
seriozitate ușurătate
eliminare includere
ridica în
cea mic
înlătura îngloba
încorda destinde
greu maniabil
incompletitudine întregime
realitate înșela
asimetric simetric
frapant nevăzut
hipocalcemie hipercalcemie
demisiona funcția
jos merge
nedreptăți îndrepta
descreștere urcuș
desfunda înfunda
docil neascultător
comprehensibil incomprehensibil
din est
mort viu
cinstit nesincer
amabil nepoliticos
chirurgie minoră
sus în
adevărat soră
lua scăpa
legaliza legii
agil lin
curentului în
chibzuință nesăbuință
destinde tensiona
armonie disensiune
uni diviza
încinge răcori
extensiv intensiv
neproliferare proliferare
avar mărinimos
deosebi aproba
angro la
conexiune deconectare
consimți păreri
demoraliza îmbărbăta
competent necompetent
ameliora înrăutăți
floră faună
separa converge
porni opri
indescifrabil lizibil
loialitate necredință
achitare sentință
central periferic
scepticism securitate
murdar pur
accidental special
de o
ezitant hotărât
tăcea vorbi
prefăcătorie veracitate
impietate pioșenie
fi trece
strânge împrăștia
cerere furnizare
deflaționist inflaționist
fața fi
deplasa opri
finit infinit
durea fi
seda înviora
gălăgios liniștit
de iarnă
ameliorare decădere
sprinten încet
potențial prezent
neîmblânzit îmblânzit
avansa retrage
dumnezeiesc pământesc
slăbi împietri
călăuzi deruta
acuzat reclamant
impasibilitate răspuns
iarnă solstițiul
necesitate nimic
deasupra dedesubt
bombat scobit
agreabil nesuferit
extrasezon vârf
fortifica slăbi
descânta rămâne
vioi încetișor
ține lua
angro vinde
ambulator bolnav
nesocoti seriozitate
diviza înmulți
fără în
despuia îmbrăca
figurativ literalmente
parte pierde
disocia face
grupa diviza
dezinteres grijă
cu vederea
coborâș urcuș
neștiințific științific
evaziune plată
bogat sărman
lăsa ridica
proaspăt sărat
maxim minimă
abscons direct
plăcea urî
insomnie toropeală
famat onorabil
din vest
subția îngroșa
creștere descrește
integru neonest
antipatic bunătate
adecvare nepotrivire
interesul plictisi
liber sclavagist
bagateliza exagera
circumspecție imprudență
lărgi strâmta
franc indirect
primar secundar
extrage vărsa
insensibil sentiment
imatur matur
proaspăt răsuflat
prostesc înțelept
rândui răvăși
dârzenie timiditate
orândui încurca
anihila confirma
nevătămător păgubitor
supraestima subaprecia
arăta pleca
desface lipi
clar neclar
frământare rece
liber lucru
nepractic practic
fericire nenorocire
una înălța
culise pe
construi cu
desăvârșire imperfecțiune
incapacitate posibilitate
reîntineri îmbătrâni
nesubordonat obedient
eficient ineficace
femeie prieten
menține înceta
asfințit auroră
steril septic
dărâma face
sta ședea
menține vomita
de plecare
afurisi binecuvânta
ingerință nonintervenție
scula așeza
dinadins involuntar
nespecificat specificat
agale agil
nesatisfăcut satisfăcut
sarcinii viu
capacitate flegmă
apărare penală
flegmă reacție
avort viu
bucurie de
deteriora îndrepta
sănătate stare
înrăutăți pune
apăra ataca
constant inconstant
antipatic plăcut
emoționant fără
sărac scump
clasa desecretiza
constant nestatornic
mare îngust
comprimare decompresiune
dramatic nedramatic
ilegal licit
capabil necompetent
atașa dezlipi
aeriană terestră
expresiv inexpresiv
insolvent solvent
descuraja îmboldi
nemulțumi plăcere
converge diverge
slăbiciune înrâurire
jucăuș serios
necorespunzător potrivire
cert nesigur
injustiție justiție
ordine tulburare
descuia închide
civilitate impolitețe
consimți declina
secătui împrospăta
ieftin scump
curent continuu
capabil nepregătit
dezrăsuci răsuci
necumpătat stăpânire
bărbat soție
deosebi face
bogat mijloc
injustiție justețe
ascunde arăta
asambla dezmembra
din nefericire
curbă linie
afluent braț
blond tuciuriu
contracție mărire
ciripi păstra
adânc ușor
lungi micșora
fiică fecior
ridicat redus
cu dura
o pe
absență prezență
încoace încolo
relaxa încorda
de plin
concorda dezaproba
de primăvară
energic slab
irealitate realitate
grăsan piele
de ponta
ascultător neascultător
curma păstra
vomita împiedica
particularitate universalitate
lărgi îngusta
continua opri
necunoaștere notorietate
ceremonios ireverențios
analitică sinteză
ilogic logic
examenul pica
nepotrivit trebui
necontrolat sub
rata izbi
acuza dispensa
favorabil nepotrivit
mișcare neclintit
hipopigmentare hiperpigmentare
calma înflăcăra
deosebi consimți
drept nedrept
sezon uscat
naționalizare privatizare
alerga zăbovi
aval în
fericire păcate
folos zadarnic
ireverență maniere
falsitate sinceritate
mări scădea
periapsis punct
deschide încuia
plasa reduce
disforie euforie
joasă munte
interesa plictisi
monosemie polisemie
trage împinge
neîmbrăcat înțolit
fățiș indirect
insucces reușită
în ședea
disperare nădejde
calic mijloc
nesinceritate sinceritate
apărare urmărire
deznădăjdui nădăjdui
intenționat neintenționat
dinafară dinăuntru
imposibil probabil
nesimțitor sentiment
dinafară interior
concentrat distribuit
rimat rimă
de voleu
econom nechibzuit
stricăciune stare
bătrânețe tinerețe
supraevalua subestima
admirație desconsiderare
ponta sosire
deranj ordine
călăuzi dezorienta
indirect sincer
instabil neîntrerupt
analfabet carte
om tânăr
descuraja îmbărbăta
termometru uscat
spori scădea
instaura suprima
capabilitate neputință
aranja dezorganiza
sărăci îmbogăți
menține întrerupe
confuz fin
înnegri înălbi
încheiere începere
liniștit problematic
domesticit neîmblânzit
imperfecțiune merit
demoralizator vesel
flegmă răspuns
optimism pesimism
bine durea
de impenitent
blond brun
minimal maxim
dezgustător nepătat
lin sprinten
lua slăbi
înrola libera
alipi desprinde
uni divide
decelera iuți
nimic necesitate
crește scădea
despleti răsuci
înrăutăți întrema
mirositor nemirositor
neintenționat voluntar
fierbe îngheța
alfabetizat analfabet
nestatornic statornic
generalitate particularitate
achiziționa vinde
dezavantaja favoriza
bine prost
timpuriu toi
elitist egalitarist
blestema da
lipsit liber
important minor
prim-plan subevalua
stimula tempera
inocență vină
asocia secționa
îndeosebi în
compatibilitate incompatibilitate
îngroșa subția
membru nemembru
face înrăutăți
bine demoralizant
capăt de
legalitate nelegalitate
crește micșora
caracter de
aptitudine inaptitudine
pe în
înălța scoborî
afurisi blagoslovi
cordialitate dispoziție
consoană oclusivă
model simplu
sfârși porni
da îngrijora
sta întins
consistență inconsistență
invarianță variabilitate
angrena desprinde
accidental expres
adevăr inexactitate
formal informal
local național
chibzuială imprudență
admite împiedica
nemulțumi plac
târziu timpuriu
maximum minim
consecutive paralele
concentric excentric
congruență incongruență
necurat pur
corectitudine caracter
pierde reclama
anestru rut
sta în
indiferență interes
neîncredere siguranță
adevărat fals
generaliza preciza
atipic tipic
chibzuială nesăbuință
destins tensionat
dinafară intern
a priori
dematerializa materializa
de iunie
răspuns tembelism
necesita scăpa
comod inconfortabil
da întrerupe
inocență vinovăție
exactitate inexactitate
destupa obtura
frivolitate gravitate
continuare discontinuitate
avânt domoli
nerespectuos respectuos
cere scăpa
imposibilitate posibilitate
evacua umple
coaliza diviza
gospodar soție
pica trece
premerge urma
dezgustător respectabil
inofensiv ofensator
problematic tihnit
activa dezactiva
calma irita
banda rapid
meridional nordic
bătrân tineret
scădere valoare
in rem
chema demobiliza
forță gravitație
neplăcere plăcere
aproba păreri
absolvi blama
borî menține
lejer tensionat
o reveni
hipotonie hipertonie
fermitate inconstanță
forte încet
efector organ
inactivitate îndeletnicire
avers pajură
ateism teism
obligatoriu opțional
băiat fiică
găti lejere
alt același
insatisfacție mulțumire
minoră majoră
spontan viu
bunăvoință dezagreabil
naștere stingere
amănuntul en
nesăbuit înțelepciune
drept imoral
minte îngustime
consonanță disensiune
cinstit centură
temere temeritate
extravertit introvertit
de serală
imperfect perfect
neobișnuit obișnuit
deznădăjdui spera
înmulți împărți
domol vioi
aspru molatic
fi neglija
naște înghiți
de nădejde
grăbi încetini
normal neobișnuit
masochist sadic
deconectare legătură
bune necuviință
despuia echipa
desfunda dop
grabă în
muri naște
contraindica prescrie
flashback prolepsă
disimetrie simetrie
consimți în
da stăpâni
mijloc tardiv
credincios persoană
conflict pace
inadecvat potrivit
descărcare încărcare
dezagreabil plăcut
muta rămâne
cert incert
diform proporționat
nimic trebuință
iute încet
abține consuma
redus ridicat
superior subordonat
ireverență respect
aduna împrăștia
umilință vanitate
acord refuza
acromatică culoare
acromatic cromatic
ieftini scumpi
revendica renunța
desperare speranță
bucura întrista
neascultare smerenie
fine mijloc
femeiască mascul
cei mai
suverană suveran
prost vioi
a avort
majoră minoră
întrista bucura
amestec neintervenție
disjunge legătura
timiditate temeritate
doamnă lord
neîntrerupt nesigur
curtoazie ireverență
fi odihni
agreabil neatrăgător
priva îmbogăți
omite seriozitate
om persoană
aminti uita
belșug mizerie
capitalism economie
ridica întins
dizgrațios nepătat
inflexibil suplu
atent cu
agăța desface
însufleți paraliza
admite refuza
asincronie sincronicitate
concizie verbozitate
actual viitor
capacitate insensibilitate
fi vederea
echivoc univoc
gingaș solid
intenționat involuntar
dificultate facilitate
insalubritate salubritate
deconecta tensiona
indisciplină smerenie
funcționa în
clasicist romantic
acromat cromatic
indiferență reacție
lipsă stimă
migăleală nepăsare
insucces realizare
trata trece
alternativ opus
bucuros trist
îndreptare îndoire
diferenția însemna
diform formă
impenitent plin
submersibil suprafață
apăra da
imixtiune nonintervenție
confort inconfort
celebritate oprobriu
arareori frecvent
răvăși rândui
face înălța
delicatețe tact
timiditate încumetare
comercial necomercial
impietate smerenie
experiență lipsă
scepticism siguranță
deosebit similar
menține părăsi
ieși intra
curbat drept
exploda face
comoditate disconfort
moale vârtos
belșug lipsă
direct ocolitor
declin îmbunătățire
însoți împărți
creștere micșorare
baftă nenorocire
prețuire respect
figurativ literal
consolida muia
fertilitate sterilitate
competent nechemat
cei puțin
acoperi dezbrăca
compresibilitate incompresibilitate
culoar prima
duce scula
focaliza estompa
bunăvoință lipsă
echitate inechitate
entuziasma potoli
vărsa eflux
altă de
impotență potență
hipertiroidism hipotiroidism
colțul naște
bunăvoie fără
liniști amplifica
înzdrăveni agrava
dezarmare fabricare
sfios îndrăzneț
uni împărți
limpezime transluciditate
ireverență reverență
final început
adeveri dezminți
inferior superior
frânare urgentare
minimal maximal
modest ostentativ
interes neatenție
găunos masiv
închis întredeschis
sterilizat septic
aboli instaura
corespunde dezaproba
complet incomplet
deprimant dispus
uni separa
depresie psihotică
minorat majorat
fi ști
debarasa impune
dezirabil indezirabil
fecund nefertil
atrage goni
convingere necredință
durere plăcere
inactivitate preocupare
franchețe mitomanie
lin rapid
oblic unghi
maximiza minimaliza
ilizibil lizibil
imposibilitate probabilitate
scund înalt
fecior fiică
adecvare caracter
atent neatent
contraindicație indicație
imperfect ireproșabil
bunătate neplăcut
apetisant neatrăgător
furtișag lovitură
cu dezlega
mândru umil
neliniștit ușor
modern neelegant
bine dezavantajos
conveniență incomoditate
particulară universalitate
angaja desprinde
ilegal legaliza
toi târziu
cortex măduvă
avizat neinformat
fericire mâhnire
desface strânge
dezagreabil distractiv
capabil incompetent
cooperație întrecere
amorțit dinamic
joasă înaltă
deschide închide
cu moderație
fermitate inconsecvență
corect rău
incoruptibil incorect
îndrepta degenera
naște sucomba
credincios nereligioasă
califica descalifica
armonie diferend
nume substantiv
nemulțumi plăcea
avort naștere
vărsa curgere
credita debita
nesigur încrezător
bucura plânge
cu simplu
agăța dezlega
concizie limbuție
faimă infamie
descrește în
binișor sprinten
prospețime perimare
drept oblic
deschide îndoi
nesocoti respecta
legitim nelegitim
generaliza specifica
flăcău fiică
automat la
constanță nestatornicie
preceda succeda
sfârși începe
crește scădere
moarte naștere
termina porni
promova retrograda
aici acolo
neorânduială rost
ivi dispărea
afaceri boicota
merge mașina
neprietenos prietenos
cele puțin
omite în
meritat nemeritat
indiferență răspuns
solstițiu vară
ariergardă cap
nesigur susținut
corectitudine greșeală
capăt timp
participa prosopul
natural nenatural
apăsa dispune
deconecta împreuna
contractare mărire
asincronă sincronă
din fericire
pierde regăsi
plecare sosire
scădea suma
energie pasivitate
dichisi purta
cei mic
agitație tihnă
aranja haine
câștig pierdere
finitudine necuprins
impietate pietate
credincios necredincios
neoficial oficial
desface încrucișa
meschin nobil
dovedi invalida
jos sta
trânti trece
nevalabil valid
culoare spectrală
diferență potrivire
corespunzător necorespunzător
fără moderație
de stimă
dezordonat ordonat
face repara
antipatic bunăvoință
profunditate superficialitate
aspru moale
luminos întunecat
corp font
general îndeosebi
alienație luciditate
de singular
exoterm endoterm
absent prezent
modestie modest
bălai brun
iute încetișor
toi întârziat
egoism generozitate
bucata ridicata
degradare înaintare
eficient neeficient
altruism egoism
final timp
bună involuntar
sătura de
dezbrăca îmbrăca
jos înalt
atomism holism
imaginație imaginativ
nebunesc înțelept
neființă prezență
cuprinde înlătura
maximal minim
păstra părăsi
activitate inacțiune
dușmănie iubire
clasă sărman
uni scinda
abil nepriceput
grijă nepăsător
domoli stimula
competitiv necompetitiv
urmă înainte
disprețui peria
disjunge stabili
fi flămânzi
minte stupiditate
neascultător obedient
depresie neurotică
preîntâmpina îngădui
natural nesigur
impune scăpa
obtura destupa
picioare sta
neparticipare prezență
decomprima presa
mobiliza vatră
literă minuscul
banda culoar
belșug sărăcie
convinge schimba
ridica pleca
bărbătesc femeiesc
căutare furnizare
acceptabil neîngăduit
demoralizant voios
deschide încheia
paralele secvențiale
hipotensiune hipertensiune
nonviolent violent
mulțumit nemulțumit
declara face
înfrâna acționa
dinamism pasivitate
diferend pace
muta sta
băiat fetișoară
echitate injustiție
drept injust
actual potențial
îndoi îndrepta
contestație confirmare
bunăvoință respingător
trăncăni tăcere
nesigur neîntrerupt
corespunzător inadecvat
prieten potrivnic
cinstit necinstit
ager agale
concav convex
hipermetropie miopie
bunăstare supărare
maturitate în
nestăpânit stăpânire
falsifica corecta
finitudine nemărginire
înrola lăsa
particular public
accentuat aton
echitate nedreptate
ager încurcat
de exagerare
porni înceta
continuu discontinuu
dependent independent
deschidere rezervă
obișnuit remarcabil
capabilitate incapacitate
nepotrivit potrivit
nerezonabil potrivit
cu liniștit
bucura îndurera
amical dușmănos
insolvabil solvent
coborî sui
condamnare recomandare
fin încâlcit
continuu intermitent
primi refuza
infamie renume
capacitate nepăsare
împiedica îngădui
proaspăt păstrat
iuțire încetinire
desăvârșit imperfect
mașină manual
de parte
cifră romană
linguși nesocoti
activ pasiv
da tempera
experimentat neexperimentat
desegregare segregație
farmec hidoșenie
aspira expira
pământul înălța
dezagrega îngloba
inconstanță stabilitate
decădere îmbunătățire
lat mic
încet țipa
dematerializa concretiza
larg mic
integru necorect
serios trece
reține sevi
drog puternic
expatria repatria
la mărginire
pericol siguranță
anterograd retrograd
bisexual homosexual
indecis totdeauna
scula culcat
diferend înțelegere
debarasa lua
euforic nenorocit
avort unui
agrava ameliora
tihnit tulburat
găti îmbrăca
dezvoltare involuție
apărare procuror
curtoazie necuviință
albeață negru
elibera împlânta
de speranță
domol sprinten
binecuvânta damna
opacitate transparență
desigila sigila
blândețe rău
despera spera
mărginire minte
accepta declina
laș viteaz
mijloc nevoiaș
includere scoatere
profunzime ușurință
dezonoare stimă
aplica scuti
abstinent bețiv
capitula opune
nonspecific specific
invariabil variat
neînsemnat semnificativ
agil agale
întări muia
destoinicie nepotrivire
dezlega lega
plăcere suferință
binecuvântat blestemat
interval închis
binecuvânta blestema
de flegmă
inatacabil vulnerabil
nestabil stabil
sprinten încetinel
desperare nădejde
neeficient productiv
demobiliza sub
neglijent prevăzător
îndrepta înăspri
drăguț neatrăgător
adâncime mică
acromatică spectrală
nerecunoscător recunoscător
de sanitate
constant instabil
solid șubred
mătușă unchi
bucata cu
joasă maree
bărbătească femeiască
amănuntul angro
subaltern superior
general specific
imperfect impecabil
liber libertate
aspru molatec
activare dezamorsare
1 rapid
democratic nedemocrat
imobil mișcare
fortifica demilitariza
ascunde da
preda piept
dubiu securitate
desluși încurca
neplăcere satisfacție
binișor rapid
dominant subordonat
capăt start
fine start
accepta obstrucționa
insolvabil solvabil
imprudent prudență
dărâma înălța
adevăr falsitate
degaja obstrucționa
coaliza scinda
finitudine nesfârșire
agale ager
legitimitate nelegitimitate
fi muri
acuza absolvi
implicare neimplicare
umor umoristic
lua tăcere
minimiza maximiza
spre în
încredere în
maximal minimal
existent neexistent
curent trecut
despuia îmbrăca
funcționa gol
neastâmpărat ușor
control necumpătat
aprinde înăbuși
a posteriori
alb-negru color
accepta respinge
participa scăpa
atonie tonus
mijloc timpuriu
relaxat încordat
perimare prospețime
avantaj dezavantaj
lucru restul
mișcare nemișcare
mamă tată
corespunzător nepotrivit
flexibil inflexibil
dezavantaj superioritate
dizgrațios respectabil
democrat nedemocrat
onorabil rău
în ști
incertitudine securitate
cu jos
fericire nefericire
ridica dispărea
demoda reveni
opțiune put
lipsă prezent
sfială încumetare
ocoli înfrunta
cel mult
dispersie densitate
bravură lașitate
lucra trândăvi
public privat
ordona răvăși
confluent ramură
generalitate particulară
cinstire de
cutezător sfios
cultivat needucat
oameni încredere
dedesubt deasupra
agil încet
ireproșabil rău
filantropie răutate
cu încrezător
curat dizgrațios
descurajant încurajator
despleti împleti
lealitate necredință
elegant inelegant
nesupunere smerenie
energic placid
agrava îmbunătăți
evident imperceptibil
loc plenitudine
centralizare descentralizare
nerezonabil rațional
evlavie impietate
agreabilitate dispoziție
stabil destabiliza
comun neobișnuit
trata vederea
apă dulce
construcție greșeală
dezmoșteni lăsa
sprinten ușor
eșuat succes
lăsa ține
problemă sănătate
contra în
culise scenă
creștere stagnare
nerealist realist
important neimportant
moderat nerezonabil
adăugare reținere
înrăutăți bine
dezaproba fi
sfială temeritate
debarasa necesita
aeriană poștă
gazos solid
cuprinde elimina
euforic mâhnit
mărinimos zgârcit
ireal real
considerație respect
culca scula
onora terfeli
angaja da
impotență înrâurire
dezbrăca îmbrăca
netulburat problematic
pe tăcere
complexitate simplicitate
găti haine
cheltuială venit
elastic inflexibil
frământare sânge
lăcrima râde
emotivitate nepăsare
personam sentință
jos picioare
prietenie potrivnicie
clasă nevoiaș
apropiat îndepărtat
fără modest
nerecunoaștere preocupare
neglija în
