Parcul_Național_din_Munții_Stâncoși Stâncoși
Salvelinus păstrăv_de_lac
taxă taxă_de_instalare
picior_plat picior
pătrundere răzbatere
cărți de
inginerie inginerie_mecanică
agent_comercial reprezentant_comercial
da piept
strâmb slut
Hong_Kong Kong
cadastru de
Hiram Președintele
hămăială hămăit
bani plăti
pe preocupat
logică relație
Calendula_officinalis officinalis
pune_în_paranteză în
nuclear terorism
cânta_jodel cânta
ulei_de_rapiță ulei_din_semințe_de_rapiță
atenție lumină
cu moale
fabulă minciună
Asperula odoratum
schimba_culoarea schimba
mucoasă membrană
psihologic război
s.r.l societate_cu_răspundere_limitată
găurit mașină
Coney Insula
fierăstrău fierăstrău_mecanic
cuprins conținut
George George_Herbert_Walker_Bush
Râul_Saale Râul
deflocula peptiza
propoziție întrebare
cu placa_cu_argint
juca_o_festă o
reacție respingere
coastă_atlantică coastă
suc_de_grepfrut suc
reducere_de_taxe taxe
perforare perforat
de germinativă
teatru teatru_ambulant
catifea_reiată cord
instrui învăța
imediat nemijlocit
Batalioanele Batalioanele_Iz_Al-Din_Al-Qassam
contradictoriu în
de temperatură
pipăit tact
infirmieră soră_medicală
canalizare de
Kid Thomas_Kid
Caswall Dowding
banc bacara
cu imprimantă_cu_laser
gamă majoră
intonație modulație
Publius_Vergilius_Maro Vergilius
New New_York
admirație apreciere
din excludere_din_barou
Azur Franceză
[se] vedea relație
[se] rotunji lua_în_greutate
real tenis
stare_de_alertă vigilență
Tarawa-Makin la
Libertatea și
tencuială_exterioară tencuială
hopul trece_cu_bine
antiviral medicament
tub_urinifer tub
bâtă ciomag
modalitate metodă
Cascada_Îngerilor Îngerilor
copilărie fragedă_pruncie
fetală vârstă
mefobarbital mebaral
Megaderma_lyra lyra
lampă rezistență
durere_în_gât în
teroriza |se| înfricoșa
schnautzer schnautzer_uriaș
circumvoluțiune circumvoluție
luna luna_calendaristică_hindusă
lucra stagiatura
floarea-soarelui ulei_de_floarea-soarelui
externă ureche_externă
poveste_de_dragoste poveste
buze balsam_de_buze
firul ierbii
politică zero
flagrant strigător_la_cer
hidrogen_sulfurat hidrogen
Rezervația_Națională_Hot_Springs Rezervația
Republica_Democrată_Germană de
stomatologie_estetică stomatologie_cosmetică
fontă_oglindă oglindă
calculat socotit
animal cărbune_animal
colegiu_de_business colegiu
apărător avocatul_apărării
Naturală Parcul_Național_Marele_Canion
glandă_pituitară_posterioară posterioară
frână plăcuță_de_frână
foc pepeni
alienat dezorientat
polizat șlefuit
catastrofă cataclism
soios slinos
munte munte_de_pietate
stradal stradală
moral simț
de_acum_încolo de_acum_înainte
cosit coasă
nechezat nechez
lumina_soarelui soare
Matricaria_chamomilla mușețel
răspuns |-și| clarifica
dans_popular_românesc dans_popular
afund adâncime
Carlos William_Carlos_Williams
colector_de_evacuare evacuare
haz spirit
face_prinsoare paria
[se] maturiza [se] cuminți
înregistra_la_bagaje înregistra
Comisia_Economică_pentru_Europa pentru
contrast mediu_de_contrast
Armata SUA
balon în
Lagopus genul_Lagopus
carta carta_regală
paletă_profilată profilată
Irakian Național
de fructe
dăunător vătămător
Caesar Claudius
celestă latitudine
sta sta_treaz
decide determina
lenevi lâncezi
proprietate însușire
limitată societate_cu_răspundere_limitată
trompe_l'oeil trompe
dispus vesel
creierului tumoră_a_creierului
Basora Basra
Calea_Flaminiană Flaminiană
genul_Atropa genul
superficial trata
a incendiilor
Insula_de_smarald smarald
arbore_cotit cotit
|se| subția |se| lungi
fum perdea
plug_de_zăpadă zăpadă
amenda penaliza
coborî dispărea
din rapiță
markup standard_generalized_markup_language
fond semnal_de_fond
mitologie romană
intrigant trăgător
derivată prima_derivată
argintos argentifer
scrumieră scrumelniță
liră pasăre
dibbuc dybbuk
oculus_sinister oculus
[-și] da_toată_silința căzni
cleios lipicios
de ordin_de_plată
căsătorie_din_dragoste din
cursă_de_bărci de
mareea maree_moartă
Liberty_Island Liberty
solist_de_operă solist
la salt
poliția_comercială poliția
face_ochi_dulci face
chemare la
stăvili slăbi
oscila șovăi
de plimbare
poliție post
floarea_vârstei vârstei
generală școală_generală
deprimare depresie
senzație vizuală
face_praf_și_pulbere sparge
spaghete sos
aplicare pansat
decizie dispoziție
termen termen_de_plată
rătăcit răzleț
gratuit liberă
fildeș turn_de_fildeș
ajuta servi
dresaj dresare
teanc îngrămădi
calculare calculație
scară_de_serviciu scară
Xanthosoma_atrovirens malanga
casă_de_schimb casă_de_schimb_valutar
Quercus sessiliflora
arsenal magazie_militară
cu densitate
al trimestru_secund
contact sport
băgare_de_seamă circumspecție
camera_pompelor casa
corp_mamilar mamilar
|se| îmbulzi |se| îngrămădi
republicare reapariție
incult neștiutor
făcut proaspăt
Johan Wittgenstein
complex_de_inferioritate complex
funcționar șef
contur formă
orăcăire orăcăit
prințesa prințesa_de_Wales
centru comercial
partea partea_de_est
Reich Stephen
Hector_Hevodidbon Michael
nap nap_porcesc
vaier văitat
lavaj_gastric lavaj
muiere udare
șoim_irlandez șoim
mașină_de_tuns_iarba mașină
Universitatea Universitatea_din_Washington
chist_seboreic seboreic
Cartea Cartea_lui_Zaharia
egala sta_pe_aceeași_treaptă
înapoiere înapoiere_acasă
diform inform
cameraman operator
automobil autovehicul
cartelă cartelă_perforată
Jesse_Jackson Louis
comprimare compresie
delecta mulțumi
bine chibzui
limpezire limpezit
destrăbălată stricată
exiguitate pretenție
țară_africană țară
drept_de_sechestru drept_de_retenție
bancnotă bancnotă_de_50_de_dolari
neagră văduvă_neagră
Mediului Protecția
lavaj_stomacal lavaj_gastric
[se] împăca bate
departament departament_publicitar
Agrostis canina
socială stare_socială
PIB brut
face_să_dea_rod face
compoziție piesă
mâncare mâncare_pentru_pisici
deseară diseară
Iguassu Iguazu
[se] bate pe
articol fascicul
Cascada_Canadiană Cascada_Horseshoe
cu_picioarele_goale goale
doctor_în_filozofie doctor
APS antigen_specific_prostatic
placare placaj
Felis_catus Felis_domesticus
armă_cu_aer_comprimat cu
discuta dezbate
chamomilla chamomile
andosa aproba
Germania_de_Est Germană
braț cu
linie trăsătură
Fiordul_Trondheim Fiordul
lipsi lumina
medicația_răcelii medicația
atent ochii
la vinde_cu_amănuntul
Fischer Robert_James_Fischer
arogant disprețuitor
anomalie naștere
Varoli punte
arbore tulipifera
spumă spumă_poliuretanică
la la_fel_de
face_pace face
[se] înăcri [se] acri
nejucăuș serios
John Tolkien
en en_gros
|se| tempera |se| calma
cocotă stradă
jar jăratic
Marea Marea_Bering
băutor bețiv
de gheată_de_patinaj
clasă_terminală terminal
american stadion
face_o_cursă o
global planetar
intensivă terapie_intensivă
garnitură montură
legiune_străină legiune
declinație declinație_magnetică
cugeta gândi
Canyon Rezervația_Naturală_Kings_Canyon
deoparte sta
genul genul_pești
lăsa_semne semne
progresa înainte
subpreț sub
concertat combinat
fi fi_luat_de_val
de șef_de_trupă
Național Parcul_Național_Rezervația_Naturală_Virgin_Islands
desface dezlipi
cuceri captiva
introductiv introducere
craniană craniu
instrument_cu_clape instrument
oficiu oficiu_de_plasament
stea steaua
avea avea_menstruație
ce da
porcușor porcesc
vânzare_cu_bucata vânzare
pisa zdrobi
bine interes
expansiv sociabil
fascinație vrajă
credit scrisoare
capcana sărăciei
inducere_în_eroare inducere
agent guvernamental
După_Cristos După
arivist carierist
[se] găsi [se] afla
mic mic_dejun
da telex
Christine_Marie_Evert Chrissie
burete-de-mare spongier
pepene pepene_roșu
trifoi-de-baltă trifoliata
[se] făli [se] lăuda
greu hidrogen
amesteca băga
costeliv scheletic
Mantineea Mantinea
serviciu serviciu_militar
Vicontele de
alcool alcool_dihidric
[se] munci [se] canoni
afara ilegal
dulci ochi
Universitatea Vest
yoghin yoghist
anihilat exterminat
gonaci hăitaș
atac terorist
gărgărița_capsulei_de_bumbac gărgărița
invers invers_multiplicativ
avea_menstruație veni_ciclul
de definiție
atracție_fizică atracție_erotică
citire rapidă
duce_cu_vorba fraieri
de laborator_de_chimie
purpură_trombocitopenică sindrom_Werthof-Wichmann
pakistaneză unitate
a choux_a_la_creme
căpetenie căpetenie_indiană
minge minge_de_golf
cu mașina
II diabet
craul înota
electrică mașină
până unul
[se] hâțâna [se] legăna
păstra_distanța ține
la_valoare valoare
de șoim_de_iarnă
suprafață_orizontală suprafață
monedă națională
libertate_a_presei libertate
tratament tratament_ortodontic
Vespula_maculifrons viespe
Asediul_de_la_Vicksburg Vicksburg
da da_slam_dunk
[-și] bate_joc tachina
cantitate_neprecizată cantitate_nedelimitată
departament secție
șapcă șapcă_de_golf
dârzenie stăruință
tragere țeapă
de vânătoare_de_vulpi
asentiment accept
distorsiune deformare
corp_de_literă_monospațiat corp
Vladimir_Vladimirovici_Putin Vladimir
feștilă fitil
bioxid bioxid_de_titan
alegere ales
amenda emenda
bătaie_de_stradă de
hârtie hârtie_de_muște
podoabă înfloritură
comediant comedie
ordin_de_plată ordin
Laurus laur
balistic galvanometru_balistic
bătălia_de_la_Langside bătălia
Secretar_de_Stat Stat
Gnetum genul_Gnetum
reputat vestit
deșucheat șuchiu
haute_couture haute
confuzie confundare
școală șoferi
cocoș_de_munte sălbatic
bilă robinet
|se| alarma |se| înspăimânta
vorbi vorbi_liber
necuprins nemărginire
face_o_grimasă grimasă
cărți noroc
Churchill Churchill_Downs
Universitatea_Yale Yale
minus plus_sau_minus
de recording
Saratoga Springs
cocoș_sălbatic de
călători în
de sonorizare
de negri
mariaj mixt
glorificare glorie
judecător pace
de limbaj_de_asamblare
peregrinaj umblare
delicios gustos
minor termen
Agrostis_canina canina
Aviație pentru
toate întâi
da_foc da
mafia mafia_siciliană
chimie organică
casă_simplă casă
reacție reacție_exotermică
Palestiniene al-Filistiniyyah
de semănătură
Fuchsia_coccinea fucsie
cer nouălea
avans plăti
butoi_metalic metalic
focului gheenă
cursă prinde
scară_Celsius scară_centigradă
demobilizat vatră
pingeli pingelui
capital câștig_de_capital
Ulmus_rubra roșu
de vrabie_de_casă
unitate unitate_administrativă
caz subiect
concert_în_scop_caritabil scop
mediului protecția
copil derbedeu
cu ecran
crater_vulcanic vulcanic
da_frâu_liber da_drumul
lua_examenul lua
celulă celulă_epitelială
cabina liftului
evidență |se| evidenția
[se] necăji [se] munci
abdominal perete
mână_de_boxer mână
cățel de
băga_în_buzunar băga
sistem_stereofonic stereofonic
Emilia_javanica Emilia
bidon_de_lapte de
pomul_cunoașterii_binelui_și_răului răului
imunologică tulburare
cuceri ocupa
nefolosit neîntrebuințat
Robert Thomas
somnoros somnolent
bandă bandă_magnetică
hăulire hăulit
poziție rămâne
deznodământ final
salt triplu_salt
Italiei capitala_Italiei
băț_de_tobă tobă
năuci ului
Cartea Cartea_lui_Isaia
[-și] ține [-și] ține_gura
mutila urâți
primire recepționare
de gorilă_de_câmpie_de_vest
ecran ecran_lat
capacitate_mentală cap
receptor receptor_alfa_adrenergic
desfătare plăcere
deschis maro
mică_potasică potasică
clocoti scoate_fum
structură_scheletică scheletică
urcuș urcat
semn vocală
Frank Frank_Capra
Fraxinus comun
Ibidiidae familia_Ibidiidae
a amprentă
bucată_de_carne_de_vită de
Pike Vârful
Leuciscus_cephalus clean
Machiavelli Niccolo_Machiavelli
cu schimb_de_cai
Greater Sunda
balon balon_cu_aer_cald
[se] despărți [se] separa
de tunzător_de_oi
bostan sămânță_de_bostan
face_cocoloș face_ghem
Whitney Whitney_Young
declarație_de_venit de
cadouri hârtie
Libocedrus Libocedrus_plumosa
umbros umbrit
circulație pulmonară
carburant_pentru_rachetă rachetă
dinte_din_față din
buzunar câine
patrulă_de_poliție poliție
galbenă limandă_cu_coadă_galbenă
per per_ansamblu
clipă ultima
intendent ofițer_de_intendență
distruge mistui
bază proces_cognitiv_de_bază
birouri de
Conraua_goliath de
fără negreșit
beat_criță beat_mort
călare pleca
creare prin
caracter_comestibil comestibil
de santal
cel cel_puțin
bilă supapă_cu_bilă
[se] îndeletnici [se] ocupa
sparge sparge_greva
joc_pe_calculator pe
cupă_de_excavator excavator
de mouse
face face_picnic
canal_vertebral spinal
[se] aranja [se] ferchezui
maree mareea
taxă taxă_anti-dumping
trece_greu trece
legitimație_de_membru membru
muță mămică
căpitan poliție
al_treilea treia
Sigmodon_hispidus șobolan_de_bumbac
alimentară pensie_de_întreținere
dezvoltare progres
Puget Sound
Angora pisică
German german
calcan calcan_mic
destupa desfunda
de sta_de_gardă
gesticulare limbaj
Balzac Honore_de_Balzac
familia_cariofiliacee familia
face mai
cățel pitic
Poncirus_trifoliata Poncirus
europaea măslin_european
negustor negustor_de_textile
vedere vedere_nocturnă
Virginia de
Arctiidae familia
astâmpăra potoli
caiet_de_exerciții caiet
gheenă matca_focului
inospitalier neospitalier
mijlocitor mediator
factor_imaterial factor
bântui urmări
umbla umbla_după_pradă
Domnului casa_Domnului
statut_înalt statut
împinge îndemna
curtea_școlii curtea
Munții_Blue_Ridge Ridge
sol soluție_coloidală
mari în
ocroti proteja
control tasta
dintr-o_clipă_în_alta dintr-o
Baron Hugh
Salvia genul
chimie laborator_de_chimie
Arabe Emiratele_Arabe_Unite
prindere pescuire
Noua Poporului
Sfântul Vatican
jeep mașină_de_teren
încrucișare întretăiere
servi |se| folosi
concav poligon
centru centru_urban
sistem_în_baza_zece în
bancnotă_de_100_de_dolari o
bătaie linie
lui principiul_lui_Pauli
Egadi Insulele
țarul_Alexandru_al_III-lea țarul
de rudă_de_sânge
Americii Poșta_Statelor_Unite_ale_Americii
conflict contraveni
fi_nasol grețos
costum_de_înot costum_de_baie
idee_eronată părere_greșită
de ricin
ipeca ipecacuana
hidroxid_de_sodiu sodă_caustică
pune pune_pe_fugă
erupe ieși
umiditate umezeală
Henric_VI VI
munte oaie_de_munte
azotat potasiu
hipometropie miopism
iarbă_scurtă pitică
indecent trivial
povață sfat
Tribulus Tribulus_terestris
țigară țigaretă
modulație ton
cânepă_indiană indiană
infinit la_nesfârșit
inacceptabil neacceptabil
de restriște
angajat ziler
de exemplu
anomică afazie_amnezică
hochei hochei_pe_iarbă
neînțeles tainic
deviant devianță
schola_cantorum schola
cash_bar cash
locui sta
moarte ucidere
jefui sparge
aerului presiune_atmosferică
șeful șef
Iuda_Iscariotul Iscariotul
semn țintă
de glonț_orb
Alfred Thayer
birouri clădire_de_birouri
pune pune_zgardă
tencuială_de_exterior tencuială_exterioară
senzorial sistem_senzorial
Calocarpum_zapota zapota
bun întreg
Chrysanthemum leucanthemum
[se] clădi [se] zidi
parabolic reflector
acoperi tăinui
vârful_puștii vârful
camarad frate
electrică pătură
revoluție revoluție_industrială
subordinul subordinul_Passares
piață retragere_de_pe_piață
mare roată
foi țigară_de_foi
memorie_auxiliară memorie_externă
lecui tămădui
jenat stânjenit
spălătură_gastrică stomacală
școală școală_de_dans
|se| alina |se| potoli
cantitate_definită cantitate_fixă
linie linie_de_referință
decrepit slăbit
golf șapcă_de_baseball
de gazetă_de_scandal
tonomat tonomat_bancar
pucioasă și
|se| înviora |se| revigora
general sediu
lime lămâie
fi_în_durerile_nașterii fi
oțel_de_scule scule
de plafon_de_sticlă
groggy năuc
genitale organe_genitale_feminine
nevoie vrea
Onobrychis_viciifolia viciaefolia
măreț mândru
durată termen
armonizare echilibrare
duce_o_campanie duce
25 cinci
mii o_sută_de_mii
agent_de_vânzări vânzător
Marea de
titlu_senzațional titlu-bombă
transmite transmite_un_mesaj
mâncărime poftă
pasaj trecere
sorbi sorbi_din_ochi
varză varză_furajeră
trage trage_cocoșul
antropofag canibal
senzațional titlu-bombă
Ledbetter Leadbelly
rășină_sintetică sintetică
face_troc face
Nikolai Vladimir_Ilyich_Lenin
bărbat bărbat_la_patru_ace
gemă prețioasă
James_Clark_Ross James
definire definiție
[-și] lua_tălpășița spăla
Clotho Clothos
infidel necredincios
gaz gaz_de_iluminat
monetară maghiară
robot_de_bucătărie robot
Felis domestică
Norvir ritonavir
termen termen_minor
jur în
vedea_în_roz în
bec_de_gaz bec_Bunsen
atracției legea_atracției_universale
game misconduct
face_o_rugăciune rugăciune
luare picior
de miel
Genet Jean_Genet
Parcul Parcul_Național_Shenandoah
Klan Klux
judecată_in_personam judecată
femeie femeie_de_stradă
canal digestiv
autoritate_civilă civilă
arbore vilbrochen
[se] confrunta [se] întrece
viteză viteză_radială
extraordinar ideal
cinema de
simbol_grafic simbol
copii joacă_de_copii
mână mână_forte
accelerator_de_inducție inducție
Erolia genus_Erolia
legal oficial
Zona tranziție
ok în_regulă
Hussein regele
admite suporta
gașcă în
de scândură_de_călcat
amănunți dezvolta
deoparte pune_deoparte
dinte_anterior dinte_din_față
Peninsula_Scandinavă Scandinavia
China Populară
Juniperus de
număr_atomic_7 nitrogen
set trenuleț
dispreț lipsă
fulger test_fulger
avansa promova
interpreta vioară
degeaba sta_degeaba
bine informat
naționalist ultranaționalist
felioară felie
de serviciu_personal
cositoare tuns
senin străveziu
Rahmaninov Serghei
sri-lankez srilankez
pachet pachet_de_vacanță
corp extraterestru
Coreea_de_Nord de
Universitatea_din_Sussex Universitatea
ciudățenie raritate
urcuș urcare
a febră
armonizare zi
Brassica Brassica_oleracea_gongylodes
Departamentul_de_Trezorerie Statelor
Frederick Guilford
pichiciego truncatus
din zahăr_de_trestie
dealbata mimosa
congenital defect_cardiac_congenital
loc pe_loc
hemofilie hemofilie_de_tip_A
rufus râs
bișniță mână
patrona întreține
crosă crosă_de_cricket
Bessie_Smith Smith
Woody_Allen Woody
năvalnic tumultuos
sever sindrom_respirator_acut_sever
cantitate_neclară cantitate_nedefinită
de protest
Comenius John
descărcare descărcat
ciclistică cursă_de_ciclism
acid_azotic apă
trage_un_pui_de_somn un
supraveghere sistem
dreaptă pilorică
om_de_paie păpușă
voce zice
da_dreptul da
paranazal sinus_paranazal
Insula_Egee Insula
călugăriță maică
declarație de
aplicare aplicare_de_ventuze
beat_mort turmentat
dicție dicțiune
laptop notebook
purpură sindrom
cutuma_locului locală
istorie_veche veche
scindare separare
agresivitate nerușinare
VI șase
foarte_înaltă_frecvență foarte
crimă crimă_organizată
cuvânt parte_de_cuvânt
Biroul_Federal_de_Investigații FBI
Democrată Republica_Democrată_Germană
pahar_de_laborator pahar
de mijlocie
capsulă capsulă_cosmică
Câmpia_Nullarbor Câmpia
îmbărbăta îmboldi
Schwenk William_Gilbert
polară polar
văitare văitătură
aduce_la_sapă_de_lemn sapă
guvern_în_exil în
tub_de_orgă tub
din locul
pecari porc
fixa potrivi_imaginea
cosmos univers
formular participantului
foiță foiță_de_aur
revoltă scandalizare
prilej șansă
instrument mașină
o o_lua_la_sănătoasa
modificare tunare
varan_de_Komodo varan
Cyrus McCormick
de echipă
front front_polar
pune_pe_rol pe
ceapă-de-mare ceapa-câinelui
cu tufă_cu_flori
Golful_Lepanto Golful_Corint
fi_în_spate mărgini_spatele
Buteo șorecar_comun
bilă_de_golf de
artă_optică op
activitate activitate_bancară
corupere_la_mărturie_mincinoasă la
Mangifera Mangifera_indica
distila sublima
contrabandă face_contrabandă
cub yard_cub
munci munci_pe_rupte
inventivitate imaginație_creatoare
lovitură_de_cap lovitură
strivi turti
confort tihnă
climax critic
legătura stabili
face face_la_filtru
copii cu
piatră încercare
Advancement of
limită terminus
arămi cupra
[se] comporta_teatral teatral
mult mai_mult
continentală platformă
de momâie
invocare invocație
continuu necontenit
imperial regal
deceda răposa
dus fi_dus_de_nas
Clupea_sprattus scrumbie
cometă stea
Episcopul_Ulfila Ulfilas
ilaritate râs
optimism încredere
teren_sterp teren
directă linie
neobișnuită persoană_neobișnuită
Doctor_în_Teologie Teologie
lua_gura_pe_dinainte turna
Sorghum halepense
El Salvador
lăsa lăsa_moștenire
|se| difuza |se| răspândi
teren_de_tenis tenis
[-și] apropria uzurpa
maică stareță
rări spația
desluși limpezi
consultant imagine
reduce_investițiile reduce
Armeniei pentru
hoinărire pribegire
Oașului țara
Baker Mary_Baker_Eddy
sticlă șlefuită
Fluviul Galben
din scoatere
suport_de_prosoape suport
Leone unitate
aripa aripa_avionului
fier_vechi fier
program supraveghere
aterizării abordare
cânta_cu_acompaniament cânta
Martes jder_mare
văl voal
nestatornicie neconsecvență
cuvinte calambur
delincvent delicvent
[se]_stinge gutuia
aripile tăia
jărăgai jig
putrezit putregăit
număr număr_atomic_1
grevă japoneză
considerare ține
anomică afazie
apă șanț
sterp teren
Organizația_Internațională_pentru_Dezvoltare Organizația
departe duce_mai_departe
de instrument
predicție pronosticare
stat țară_balcanică
faza_secretorie faza
[se] ferchezui [se] aranja
aur goană_după_aur
sferă sferă_politică
fi militar
împrumut împrumut_condiționat
[se] certa contradictoriu
Bill_Clinton Jefferson
motivație motivație_irațională
Rege Rege_al_Angliei
relație_logică relație
sticlă_opalescentă sticlă_opală
intimida prin
libera la
colțul muri
carcinom_in_situ cancer_preinvasiv
bun cel_mai_tare
păzi veghea
melc mare
executor_testamentar testamentar
alb metal
necaz neajuns
paști pască
mops mops_pitic
prisoseală prisos
de puncte
returna retrimite
cratogen platformă_continentală
nechezătură rânchezătură
fi_de_părere părere
al_optulea_simț optulea
|se| îngemăna |se| îmbina
Eruca usturoiță
componente listă
cost_de_distribuție de
zeitate_anglo-saxonă zeitate
nimic nicio
jaf_armat jaf
patron protector
Neandertal sapiens
plonja |se| scufunda
știința științele
[se] deosebi_în_păreri avea_altă_părere
acetat_de_etil acetat
sfâșia spinteca
la punct
II Ptolemeu_II
la_timpul_potrivit potrivit
săpa_la_casma săpa
ca premisă
dejucare împiedicare
genul_Verbena genul
fir fibră
comorii ladă_a_comorii
frige_la_grătar frige
periferic sistem
ipoteza_planetesimală ipoteza
îmbelșugat îndestulat
spargere spintecare
inteligență_artificială inteligență
barba-lupului iarba-crucii
|se| împrăștia |se| duce
Comisia_de_Securitate_și_Schimb Securitate
consultant_de_imagine consultant
familia_Argasidae familia
beletristică literatură
Lanțul Lanțul_Pennine
asteatoză xeroftalmie
ironiza persifla
de lungime
dumnezeiesc providențial
neînfricare îndrăzneală
Brassica rapa
da mână
pește pește_porcesc
pastă pastă_de_mici
carte carte_fundamentală
la scurge_paharul
ca_firul_de_păr păr
clasa treia
gazon peluză
captivat extatic
guvern_de_război guvern
de refrigerare
Collins William
Bolilor Centrul
dezarticulat luxat
bordel casă_de_toleranță
Deșertul Patagoniei
mere oțet_de_mere
fotbalist jucător
avertisment atenționare
răpitor_marin răpitor
pipa_iarbă înghiți
[se] infiltra [se] furișa
bogat somptuos
la rinichi
căpătuit parvenit
culcat lungit
Potamogale genul
fundamentală masă_fundamentală
maiestuos mândru
Charles_Kay_Ogden Odgen
energie_mentală energie
arc_spiralat elicoidal
Bătălia Bătălia_de_pe_râul_Yalu
depresie_neurotică depresie
gris petit_gris
scinda împărți
casă_de_schimb_valutar de
nasol împuțit
cap drumuri
brava înfrunta
Willard_Van_Orman_Quine Willard
limbă_iraniană limbă_persană
așeza picta
Furtună Operațiunea
probă sondaj
constricție strangulare
adezivă leucoplast
friptură friptură_de_vită
nord-vest-ul_SUA nord-vest-ul
budist_zen budist
Elisha_Graves_Otis Otis
impediment obstacol
Serviciul USSS
actor_ambulant ambulant
paleocenă paleocen
chinuitor străpungător
biserică recunoscută
Legea_Mozaică Legea
șarlatan șmecher
năvală năpusti
esențială virtute
mărire_de_preț scumpire
crizantemă tufănică
tun_mortieră tun
dipol_magnetic magnetic
cărbune la
Lacul_Ciad Lacul_Chad
sălbatic trandafir_sălbatic
caprei iarba
mirosi puți
portocal portocal_sălbatic
de vârstă
mămițică mămiță
de foaie_de_cort
manichiură unghii
descărca jos
indicele indicele_bursei
bombei explozia_bombei
făgădui promite
[se] păzi [se] apăra
cablu televiziune
capăt la
psihologie psihoanaliză
serviciu serviciu_american_de_informații
blocnotes carnețel
de răzbunare
putativ presupus
apozițional apozitiv
cadranul numere
operație sincronă
nota_bene nota
în în_pace
aer comprimat
lin încetișor
orală personalitate
sanguin sangvin
cama_ruptorului ruptorului
Narcissus_jonquilla Narcissus
discuție poveste
dârdâi tremura
nenorocit tragic
animală natură
[se] transmite dat
broasca goliath
Physeteridae familia_Physeteridae
hidraulică inginerie_hidraulică
imunoglobulină_G imunoglobulină
elementelor tabel_periodic_al_elementelor
oaie_sălbatică sălbatică
best_seller best
ateroscleroză arterială
pune_la_ciorap strânge
[se] bate_pe_burtă de
farsă pe
semeție încumetare
Karl_Gauss Karl_Friedrich_Gauss
Drepturilor Declarația_Drepturilor
Sebastian San_Sebastian
ațipeală piroteală
măgar_sălbatic sălbatic
cositoare mașină_de_tuns_iarba
bufet cu
inducere inducere_în_eroare
pix pix_cu_pastă
perfidie viclenie
encefalită encefalită_ecvină
ladă_de_gunoi ladă
carne_de_pasăre de
robinet_de_apă robinet
balon balonzaid
imparțial obiectiv
braț rezemător_de_braț
desprindere detașare
cortex lob_frontal
plantă perenă
Hudson Henry
institui înființa
Insulele Insulele_Tubuai
Passiflora_edulis fructul-pasiunii
amărăciune de
băț bețișor
delicatețe finețe
fizice face_sport
translator tălmaci
închegare închegare_a_sângelui
îngroșarea îngroșate
propaga transmite
mod muzical
mecanic mecanic_de_locomotivă
strategia_alungării_rechinilor strategia
rea_voință voință
imoral pervertit
fier fecioara
nuntă nuntă_de_diamant
piton_reticulat reticulat
cilindru canal
răzbate răzbi
cauciuc gumă
[se] menține dura
antilopă antilopă_sud-africană
compensa răsplăti
neglija uita
prognoză pronostic
principal prim
face scrupule
hochei_pe_iarbă pe
rupe_relațiile relațiile
de la_ușa_de_alături
deviant deviație
propulsie_cu_reacție reacție
date_de_intrare fișier
apărător avocatul
supărător sâcâitor
face face_mai_abrupt
drumul_cel_drept drept
biban_american biban
K kaon
MI5 Securitate
lapte_bătut prins
păstaie_de_mazăre păstaie
Carlos_șacalul Salim
cele cei
trage_pe_sfoară trage
huzuri lăfăi
aur_alb aur
articol articole_de_toaletă
timp_rece timp
kilohertz kilociclu
cu fraieri
dea rod
acidoză acidoză_metabolică
cu_maliție cu
linie linie_spectrală
eroda mânca
Oryctolagus Oryctolagus_cuniculus
Edgar Guest
binedispune înveseli
tub tub_Geiger
cuplu convertor
considerare |se| uita
mușchi neted
aspirată oclusivă_aspirată
colectivă opinie_colectivă
post_de_radio stație_de_radio
nepriceput neîndemânatic
câine_de_muncă câine
calm răgaz
chior para
spune_în_treacăt spune
canal canal_de_scurgere
ghilimele_simple ghilimele
Trifolium Trifolium_repens
câini sanie_de_câini
categorie categorie_sintactică
desfășurare lucru
de zidărie
la lupta_de_la_lacul_Trasimenus
durere_în_gât de
da da_jos_de_pe_cal
comunitate_religioasă religioasă
carbid de
avea_gust aromat
mamă țară_de_obârșie
cârtiță sobol
echipament echipament_de_crichet
plângăreț văicăros
Banca_Internațională_pentru_Reconstrucție_și_Dezvoltare Reconstrucție
biomicină clortetraciclină
Lacul Lacul_Huron
glandă neurohipofiză
jidan jidov
vârstă vârstnic
lua o_lua_la_sănătoasa
de suliță
pune_în_încurcătură pune
congenitală defect
da_la_fier_vechi da_la_gunoi
a cumpăna_continentală_a_apelor
credincios fi_credincios
liber ocupație_de_timp_liber
fi_legat fi
imprimantă lanț
undui văluri
cameră cameră_de_ionizare
medic_psihiatru psihiatru
bani_peșin lichiditate
de sodiu
de proiect_de_lege
al nivel
pasăre_țesătoare pasăre
coadă_de_pește pește
surveni |se| petrece
doua tura_a_doua
secție secție_ritmică
jucător tenis
acid_lisergic_dietilamid dietilamid
fișier fișier_needitabil
cântec cântec_de_carilon
Sardina pilchardus
Fraxinus frasin
Americii Poșta_Statelor_Unite
chelie calviție
Vladimir_Ilich_Lenin Vladimir_Ilyich_Lenin
John_Philip_Sousa John
de elice_de_avion
caracter_imediat caracter_direct
cataria iarba-mâței
benchetui petrece
Departamentul_de_Trezorerie Trezoreria
ieși |se| termina
lungire tolănire
Mean ora_Greenwich
grăbire urgentare
cărți truc_cu_cărți_de_joc
